linha,nome da linha,Solicitações SIC
113,Hélida,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 113 - Hélida, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
122,JD. Sílvia,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 122 - JD. Sílvia, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
123,Itapark Novo,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 123 - Itapark Novo, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
125,Olinda,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 125 - Olinda, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
131,Itapeva,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 131 - Itapeva, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
133,Esperança,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 133 - Esperança, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
134,Santista,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 134 - Santista, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
136,Canadá,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 136 - Canadá, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
141,São Lúcido,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 141 - São Lúcido, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
142,Itaussu,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 142 - Itaussu, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
143,Estrada Do Carneiro,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 143 - Estrada Do Carneiro, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
144,JD. Elizabeth,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 144 - JD. Elizabeth, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
145,Sampaio & Vital,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 145 - Sampaio & Vital, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
132,Real via Itapark,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 132 - Real via Itapark, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
088,ZAIRA SERTÃOZINHO,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 088 - ZAIRA SERTÃOZINHO, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
O30,Parque São Vicente / JD Araguaia,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha O30 - Parque São Vicente / JD Araguaia, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
